Species,Family,Minnow Traps,Windemere Traps,Electrofishing,Season,Habitat
Rock bass,Centrarchidae,0,0,0,Summer,Benthopelagic
Brown bullhead,Ictaluridae,34,71,192,Summer,Benthic
Bowfin,Amiidae,1,0,1,Summer,Benthopelagic
Goldfish,Cyprinidae,25,42,280,Summer,Benthopelagic
White sucker,Gatostomidae,5,27,146,Summer,Benthic
Brook stickleback,Gasterosteidae,6,40,3,Summer,Benthopelagic
Common carp,Cyprinidae,1,1,8,Summer,Benthopelagic
Gizzard shad,Clupeidae,2,0,166,Summer,Pelagic
Northern pike,Esocidae,0,3,14,Summer,Benthopelagic
Brook silverside,Atherinopsidae,0,0,1,Summer,Pelagic
Longnose gar,Lepisosteidae,0,0,1,Summer,Benthopelagic
Green sunfish,Centrarchidae,19,77,161,Summer,Benthopelagic
Pumkinseed sunfish,Centrarchidae,5,33,67,Summer,Benthopelagic
Bluegill sunfish,Centrarchidae,50,330,283,Summer,Benthopelagic
Common shiner,Cyprinidae,0,8,38,Summer,Benthopelagic
Largemouth bass,Centrarchidae,3,32,105,Summer,Benthopelagic
White perch,Moronidae,38,82,4,Summer,Benthopelagic
Round goby,Gobiidae,283,61,46,Summer,Benthic
Emerald shiner,Cyprinidae,0,9,10,Summer,Benthopelagic
Spottail shiner,Cyprinidae,3,148,18,Summer,Benthopelagic
Yellow perch,Percidae,14,8,65,Summer,Benthopelagic
Common logperch,Percidae,14,10,9,Summer,Benthic
Bluntnose minnow,Cyprinidae,1,8,56,Summer,Benthopelagic
Fathead minnow,Cyprinidae,2,74,282,Summer,Benthopelagic
Black crappie,Centrarchidae,0,2,10,Summer,Benthopelagic
Rudd,Cyprinidae,0,62,53,Summer,Benthopelagic
Creek chub,Cyprinidae,0,0,5,Summer,Benthopelagic
Rock bass,Centrarchidae,0,6,0,Winter,Benthopelagic
Brown bullhead,Ictaluridae,37,9,13,Winter,Benthic
Bowfin,Amiidae,0,0,13,Winter,Benthopelagic
Goldfish,Cyprinidae,0,1,5,Winter,Benthopelagic
White sucker,Gatostomidae,2,0,13,Winter,Benthic
Brook stickleback,Gasterosteidae,6,0,5,Winter,Benthopelagic
Common carp,Cyprinidae,0,0,16,Winter,Benthopelagic
Gizzard shad,Clupeidae,3,19,6,Winter,Pelagic
Northern pike,Esocidae,0,0,3,Winter,Benthopelagic
Brook silverside,Atherinopsidae,0,0,2,Winter,Pelagic
Longnose gar,Lepisosteidae,0,0,0,Winter,Benthopelagic
Green sunfish,Centrarchidae,26,18,75,Winter,Benthopelagic
Pumkinseed sunfish,Centrarchidae,6,9,5,Winter,Benthopelagic
Bluegill sunfish,Centrarchidae,15,19,10,Winter,Benthopelagic
Common shiner,Cyprinidae,0,2,0,Winter,Benthopelagic
Largemouth bass,Centrarchidae,0,0,15,Winter,Benthopelagic
White perch,Moronidae,0,2,0,Winter,Benthopelagic
Round goby,Gobiidae,84,20,2,Winter,Benthic
Emerald shiner,Cyprinidae,2,2,5,Winter,Benthopelagic
Spottail shiner,Cyprinidae,5,2,3,Winter,Benthopelagic
Yellow perch,Percidae,3,7,13,Winter,Benthopelagic
Common logperch,Percidae,1,1,12,Winter,Benthic
Bluntnose minnow,Cyprinidae,1,1,3,Winter,Benthopelagic
Fathead minnow,Cyprinidae,8,7,15,Winter,Benthopelagic
Black crappie,Centrarchidae,0,0,1,Winter,Benthopelagic
Rudd,Cyprinidae,1,5,9,Winter,Benthopelagic
Creek chub,Cyprinidae,0,0,0,Winter,Benthopelagic
